,id,lot_frontage,overall_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,totrms_abvgrd,fireplaces,garage_area,saleprice,porch_sf,house_remod_sold,house_age_sold,kitchen_qual_Fa,kitchen_qual_Gd,kitchen_qual_TA,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker
0,109,72.77464788732394,6,533.0,725.0,725,1479,2,6,0,475.0,130500,44,5,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,544,43.0,7,637.0,913.0,913,2122,2,8,1,559.0,220000,74,12,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,153,68.0,5,731.0,1057.0,1057,1057,1,5,0,246.0,109000,52,3,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,318,73.0,5,0.0,384.0,744,1444,2,7,0,400.0,174000,100,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,255,82.0,6,0.0,676.0,831,1445,2,6,0,484.0,138500,59,17,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,138,137.0,6,247.0,1517.0,1888,1888,2,6,1,578.0,190000,0,8,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2827,35.0,6,547.0,547.0,1072,1072,2,5,0,525.0,140000,44,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,145,75.19245283018869,5,1000.0,1188.0,1188,1188,1,6,0,531.0,142000,0,51,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1942,62.80254777070064,5,292.0,924.0,924,924,1,6,0,420.0,112500,324,55,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,1956,70.0,5,650.0,1040.0,1040,2080,1,9,2,504.0,135000,335,38,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
